(City: Careyland, Pop: 5086547, Elevation: 1645.0)
(City: PortChadton, Pop: 15487634, Elevation: 2367.0)
(City: EastPriceborough, Pop: 37777262, Elevation: 1119.0)
(City: Bahringerchester, Pop: 9864900, Elevation: 2914.0)
(City: NewRosalinda, Pop: 40983605, Elevation: 3679.0)
(City: NorthJoyce, Pop: 22408510, Elevation: 3077.0)
(City: Lomabury, Pop: 34496489, Elevation: 1202.0)
(City: NorthBrady, Pop: 44067187, Elevation: 2313.0)
(City: Westfort, Pop: 9846324, Elevation: 1077.0)
(City: SouthSteveport, Pop: 28668576, Elevation: 1082.0)
(City: LakeIdellaside, Pop: 31760455, Elevation: 3802.0)
(City: NewMyron, Pop: 25827538, Elevation: 3434.0)
(City: LakeBryanamouth, Pop: 21302615, Elevation: 1869.0)
(City: Vidabury, Pop: 45375563, Elevation: 3734.0)
(City: Noemyside, Pop: 37005947, Elevation: 1333.0)
(City: Bernadineberg, Pop: 27990106, Elevation: 3273.0)
(City: EastConrad, Pop: 11228216, Elevation: 3711.0)
(City: Willischester, Pop: 23987913, Elevation: 1367.0)
(City: NorthChristinamouth, Pop: 28116458, Elevation: 1661.0)
(City: NewCarolchester, Pop: 35038475, Elevation: 1035.0)
(City: NewThadtown, Pop: 16393806, Elevation: 2593.0)
(City: EastJamal, Pop: 17965332, Elevation: 3603.0)
(City: Medhurstville, Pop: 33474722, Elevation: 3955.0)
(City: Soledadborough, Pop: 40349423, Elevation: 1665.0)
(City: Keeblerview, Pop: 29519532, Elevation: 2080.0)
(City: Louieview, Pop: 10729982, Elevation: 1702.0)
(City: Leuschkeland, Pop: 632056, Elevation: 3024.0)
(City: LakeKarlland, Pop: 12706862, Elevation: 1216.0)
(City: SouthCarole, Pop: 28839155, Elevation: 948.0)
(City: Alantown, Pop: 49276676, Elevation: 377.0)
(City: Boganport, Pop: 38949372, Elevation: 3511.0)
(City: Beahanville, Pop: 37877645, Elevation: 2635.0)
(City: Casperstad, Pop: 47027889, Elevation: 2963.0)
(City: LakeAmanda, Pop: 20820496, Elevation: 2506.0)
(City: SouthJoshua, Pop: 40393406, Elevation: 2541.0)
(City: Bettyebury, Pop: 18573391, Elevation: 1460.0)
(City: Edenshire, Pop: 37536828, Elevation: 3559.0)
(City: Labadieshire, Pop: 10694163, Elevation: 3385.0)
(City: Carterville, Pop: 26986914, Elevation: 606.0)
(City: EastAmandachester, Pop: 7946327, Elevation: 3861.0)
(City: WestAndrewshire, Pop: 6724923, Elevation: 841.0)
(City: Pedroshire, Pop: 16097007, Elevation: 3767.0)
(City: Torphymouth, Pop: 18069865, Elevation: 2233.0)
(City: Burleymouth, Pop: 10949802, Elevation: 3741.0)
(City: NorthAditya, Pop: 41372351, Elevation: 3831.0)
(City: SouthMaymiemouth, Pop: 41482061, Elevation: 57.0)
(City: Tillmanville, Pop: 1843040, Elevation: 3651.0)
(City: PortLisetteberg, Pop: 28273881, Elevation: 1846.0)
(City: Kendrafurt, Pop: 20629394, Elevation: 3707.0)
(City: Andystad, Pop: 37267077, Elevation: 574.0)
(City: LakeNoahside, Pop: 14988865, Elevation: 1838.0)
(City: Brownville, Pop: 42646152, Elevation: 2787.0)
(City: NewHershelland, Pop: 34347481, Elevation: 1266.0)
(City: WestKianaton, Pop: 37926570, Elevation: 2659.0)
(City: Homenickhaven, Pop: 29644012, Elevation: 1933.0)
(City: WestAniyah, Pop: 37601811, Elevation: 2935.0)
(City: Boydmouth, Pop: 14429661, Elevation: 3628.0)
(City: Quitzonshire, Pop: 32243080, Elevation: 1110.0)
(City: PortCeasarstad, Pop: 11357173, Elevation: 1645.0)
(City: Windlermouth, Pop: 27712719, Elevation: 2127.0)
(City: Ferryville, Pop: 17735606, Elevation: 1611.0)
(City: NorthRonnymouth, Pop: 5053122, Elevation: 3186.0)
(City: Auerland, Pop: 39119184, Elevation: 2525.0)
(City: Connellyfurt, Pop: 13977208, Elevation: 232.0)
(City: Homenickview, Pop: 12626274, Elevation: 472.0)
(City: PortNakiaview, Pop: 25668709, Elevation: 3435.0)
(City: PortJakeville, Pop: 919388, Elevation: 2602.0)
(City: NewAbagailtown, Pop: 15397437, Elevation: 3952.0)
(City: EastAddieville, Pop: 18788905, Elevation: 3215.0)
(City: Ottofurt, Pop: 25381504, Elevation: 1056.0)
(City: EastBrandyn, Pop: 43439786, Elevation: 1708.0)
(City: Johnsfort, Pop: 17175043, Elevation: 2424.0)
(City: NewDollyport, Pop: 33854861, Elevation: 1884.0)
(City: Emmetview, Pop: 16583969, Elevation: 1697.0)
(City: WestErnest, Pop: 42274034, Elevation: 2096.0)
(City: VonRuedenville, Pop: 42881940, Elevation: 2295.0)
(City: Mohrland, Pop: 30309750, Elevation: 773.0)
(City: WestDeborah, Pop: 12954212, Elevation: 1527.0)
(City: Nienowstad, Pop: 44864789, Elevation: 2005.0)
(City: Marcostad, Pop: 32790757, Elevation: 3337.0)
(City: WestMorrisfurt, Pop: 5020757, Elevation: 1645.0)
(City: WestJarodfort, Pop: 19088510, Elevation: 2371.0)
(City: NewClemenshaven, Pop: 31286108, Elevation: 1750.0)
(City: Vidalborough, Pop: 42599806, Elevation: 3768.0)
(City: Doyleburgh, Pop: 30712442, Elevation: 1345.0)
(City: SouthKristoferberg, Pop: 49949596, Elevation: 160.0)
(City: Alishatown, Pop: 23062434, Elevation: 179.0)
(City: Blandahaven, Pop: 22096205, Elevation: 1673.0)
(City: Kautzermouth, Pop: 36578941, Elevation: 591.0)
(City: Dandremouth, Pop: 12894761, Elevation: 491.0)
(City: Janeside, Pop: 21674560, Elevation: 1096.0)
(City: Frederikfurt, Pop: 12084742, Elevation: 1570.0)
(City: LakeStacy, Pop: 19137338, Elevation: 1091.0)
(City: Grantview, Pop: 42610025, Elevation: -88.0)
(City: Ryderton, Pop: 9640418, Elevation: 3379.0)
(City: LakeJeremie, Pop: 33360443, Elevation: 1158.0)
(City: Faustoville, Pop: 25402954, Elevation: 2176.0)
(City: NorthEdmund, Pop: 28592768, Elevation: 1246.0)
(City: SouthJohnson, Pop: 43582372, Elevation: 292.0)
(City: Vicentestad, Pop: 41114854, Elevation: 2218.0)
(City: PortPercival, Pop: 42911703, Elevation: 2699.0)
(City: Linniebury, Pop: 21224910, Elevation: 2203.0)
(City: PortJasper, Pop: 34094890, Elevation: 2541.0)
(City: NewPascale, Pop: 25505481, Elevation: 1543.0)
(City: Volkmanborough, Pop: 21591774, Elevation: 1062.0)
(City: SouthBettiemouth, Pop: 21895556, Elevation: 1669.0)
(City: Leschberg, Pop: 40475220, Elevation: 2397.0)
(City: PortDariusfurt, Pop: 34111690, Elevation: 3657.0)
(City: Padbergberg, Pop: 8931802, Elevation: 1197.0)
(City: EastNoelia, Pop: 9045340, Elevation: 1712.0)
(City: MacGyverville, Pop: 48150832, Elevation: 2327.0)
(City: Idellahaven, Pop: 38953537, Elevation: 1496.0)
(City: NorthDorthy, Pop: 10181871, Elevation: 185.0)
(City: Peggieport, Pop: 16477465, Elevation: 1866.0)
(City: Abbyland, Pop: 48910294, Elevation: 2894.0)
(City: Bethanyborough, Pop: 7391444, Elevation: 225.0)
(City: NorthHerminio, Pop: 47957258, Elevation: 158.0)
(City: Welchchester, Pop: 5660377, Elevation: 277.0)
(City: Gusikowskitown, Pop: 30096643, Elevation: 1256.0)
(City: PortBerniece, Pop: 12290839, Elevation: 3408.0)
(City: Naderview, Pop: 27261377, Elevation: 2941.0)
(City: Dibbertville, Pop: 30445224, Elevation: 3508.0)
(City: LakeJeanettestad, Pop: 48425977, Elevation: 2868.0)
(City: Ritchieberg, Pop: 26624155, Elevation: 474.0)
(City: Clemenstown, Pop: 32359224, Elevation: 295.0)
(City: PortDeontechester, Pop: 6523335, Elevation: 2708.0)
(City: PortSelina, Pop: 47963404, Elevation: 1924.0)
(City: LakeMckaylafurt, Pop: 36724046, Elevation: 3921.0)
(City: Adellafort, Pop: 10207245, Elevation: 1085.0)
(City: EastAntonette, Pop: 17795179, Elevation: 1059.0)
(City: Keeblerville, Pop: 16223053, Elevation: 586.0)
(City: NorthAgustinaland, Pop: 1340799, Elevation: 3843.0)
(City: Vicentachester, Pop: 10342192, Elevation: 2863.0)
(City: EastNils, Pop: 42232220, Elevation: 3229.0)
(City: Greenholtshire, Pop: 16212238, Elevation: 2428.0)
(City: Quincyfurt, Pop: 12747700, Elevation: 2914.0)
(City: NewRhiannonborough, Pop: 21696261, Elevation: 3162.0)
(City: EastShania, Pop: 43409768, Elevation: 603.0)
(City: Candidomouth, Pop: 37976313, Elevation: 328.0)
(City: WestDylan, Pop: 19653346, Elevation: 676.0)
(City: Matildashire, Pop: 19533796, Elevation: 392.0)
(City: Okunevafurt, Pop: 39072355, Elevation: 300.0)
(City: Veronicatown, Pop: 48740876, Elevation: 1769.0)
(City: Reynoldsview, Pop: 36836119, Elevation: 2098.0)
(City: NewOliver, Pop: 18953543, Elevation: 1702.0)
(City: PortLoraview, Pop: 37440201, Elevation: 2417.0)
(City: Keiramouth, Pop: 7302502, Elevation: 398.0)
(City: Hermannstad, Pop: 36978146, Elevation: 2247.0)
(City: NorthAlaynamouth, Pop: 46250350, Elevation: 1764.0)
(City: EastJosephine, Pop: 5731408, Elevation: 3789.0)
(City: Andersonmouth, Pop: 21593216, Elevation: 81.0)
(City: EastBrycefort, Pop: 10283383, Elevation: 516.0)
(City: WestGavin, Pop: 15865027, Elevation: 3019.0)
(City: Genesisport, Pop: 21463675, Elevation: 3260.0)
(City: Bonnieville, Pop: 46144351, Elevation: 1404.0)
(City: Carloschester, Pop: 6003649, Elevation: 1854.0)
(City: Wainoville, Pop: 23704908, Elevation: 1235.0)
(City: Turnerstad, Pop: 17187101, Elevation: 3614.0)
(City: Beatriceland, Pop: 10499326, Elevation: 2796.0)
(City: EastWaino, Pop: 43125360, Elevation: 384.0)
(City: SouthLaviniastad, Pop: 7621914, Elevation: 3306.0)
(City: Eliseofurt, Pop: 48828967, Elevation: 2724.0)
(City: SouthOrlandport, Pop: 43773695, Elevation: 2231.0)
(City: PortNathanialshire, Pop: 4759269, Elevation: 1067.0)
(City: Stellafurt, Pop: 16321060, Elevation: 133.0)
(City: Arielburgh, Pop: 13118909, Elevation: 3053.0)
(City: NorthAmy, Pop: 29471732, Elevation: 2086.0)
(City: NorthRexhaven, Pop: 47222682, Elevation: 2934.0)
(City: LakeKenyonmouth, Pop: 48244156, Elevation: 2021.0)
(City: Aftonbury, Pop: 961197, Elevation: 2814.0)
(City: Curtisport, Pop: 46761809, Elevation: 3440.0)
(City: Jeremiebury, Pop: 14405640, Elevation: 3108.0)
(City: LakeAlexzandershire, Pop: 21893914, Elevation: 1336.0)
(City: Bashirianville, Pop: 29901301, Elevation: 1174.0)
(City: Turcotteland, Pop: 17211572, Elevation: 2983.0)
(City: Prudencemouth, Pop: 4601683, Elevation: 2506.0)
(City: Torphyland, Pop: 48646679, Elevation: 848.0)
(City: Hammeshaven, Pop: 5045638, Elevation: 1314.0)
(City: Hintzside, Pop: 12077033, Elevation: 1791.0)
(City: Schowalterview, Pop: 5329129, Elevation: 3249.0)
(City: Estelletown, Pop: 46442444, Elevation: 550.0)
(City: Hermanfort, Pop: 18751756, Elevation: 1662.0)
(City: EastSylvan, Pop: 37361400, Elevation: 3119.0)
(City: NorthDeronshire, Pop: 22567162, Elevation: 2299.0)
(City: Jordynside, Pop: 8895089, Elevation: 799.0)
(City: NorthAlexzanderhaven, Pop: 35610673, Elevation: 1380.0)
(City: PortJeanie, Pop: 40760309, Elevation: 2149.0)
(City: Kiehnview, Pop: 34933338, Elevation: 796.0)
(City: Darianport, Pop: 38221190, Elevation: 3164.0)
(City: Lavernburgh, Pop: 43644885, Elevation: 736.0)
(City: Ransomview, Pop: 1766016, Elevation: 2367.0)
(City: NorthCasandraville, Pop: 35996664, Elevation: 1428.0)
(City: Weissnatstad, Pop: 19169179, Elevation: 848.0)
(City: WestStephany, Pop: 20606791, Elevation: 2896.0)
(City: Kennedyhaven, Pop: 30058103, Elevation: 3044.0)
(City: Terryborough, Pop: 20072174, Elevation: -93.0)
(City: LakePearlland, Pop: 20379937, Elevation: 797.0)
(City: LakeAlexandre, Pop: 2898303, Elevation: 2104.0)
(City: NewEdmond, Pop: 30796564, Elevation: 2733.0)
(City: Hayeston, Pop: 12301182, Elevation: 3413.0)
(City: NorthIsabellfurt, Pop: 1783565, Elevation: 297.0)
(City: SouthKeyshawnhaven, Pop: 44228188, Elevation: 1079.0)
(City: Vandervortfurt, Pop: 30005382, Elevation: 1073.0)
(City: SouthBusterton, Pop: 24168974, Elevation: 1320.0)
(City: Scottiebury, Pop: 13726714, Elevation: 1363.0)
(City: PortJoesph, Pop: 26586757, Elevation: 3390.0)
(City: EastMillieshire, Pop: 15758532, Elevation: 218.0)
(City: Haylieborough, Pop: 7336796, Elevation: 348.0)
(City: WestIsabellport, Pop: 7458374, Elevation: 2110.0)
(City: WestTimmothyborough, Pop: 44171523, Elevation: 656.0)
(City: NorthBeulah, Pop: 1415577, Elevation: 3949.0)
(City: Bogisichland, Pop: 39183535, Elevation: 547.0)
(City: Johnsonbury, Pop: 31536867, Elevation: 390.0)
(City: Treutelborough, Pop: 18592736, Elevation: 3817.0)
(City: LakeTorrance, Pop: 18165185, Elevation: 704.0)
(City: WestElyse, Pop: 32571972, Elevation: 223.0)
(City: Prestonberg, Pop: 7863155, Elevation: 3695.0)
(City: EastMortimerville, Pop: 37261158, Elevation: 42.0)
(City: NewAudrey, Pop: 45375929, Elevation: 2762.0)
(City: Felixville, Pop: 9950958, Elevation: 1002.0)
(City: Brennanhaven, Pop: 7905645, Elevation: 3999.0)
(City: WestKalebfort, Pop: 18232221, Elevation: 180.0)
(City: PortTianna, Pop: 667676, Elevation: 3572.0)
(City: Ervinfort, Pop: 28099055, Elevation: 1341.0)
(City: EastIsabelshire, Pop: 31192529, Elevation: 1469.0)
(City: NorthLeeport, Pop: 40944232, Elevation: 1343.0)
(City: Baumbachmouth, Pop: 734686, Elevation: 3310.0)
(City: SouthAlveratown, Pop: 28648708, Elevation: 950.0)
(City: NorthRomamouth, Pop: 30168343, Elevation: 2713.0)
(City: SouthChadrick, Pop: 44192335, Elevation: 1972.0)
(City: Yadiraside, Pop: 5048885, Elevation: 2803.0)
(City: Adolfton, Pop: 45112007, Elevation: 2980.0)
(City: Dickiview, Pop: 25393756, Elevation: 3798.0)
(City: WestDomenicofort, Pop: 26414623, Elevation: 2762.0)
(City: Herthafort, Pop: 46653386, Elevation: 1881.0)
(City: Yazminburgh, Pop: 49942524, Elevation: 1228.0)
(City: WestJermaineland, Pop: 7986168, Elevation: 3963.0)
(City: LakeCharlie, Pop: 30682316, Elevation: 2977.0)
(City: EastDestiny, Pop: 286665, Elevation: 2767.0)
(City: Heaneyland, Pop: 33884287, Elevation: 2517.0)
(City: LakeLinamouth, Pop: 30308471, Elevation: 3522.0)
(City: NewNehahaven, Pop: 18069539, Elevation: -38.0)
(City: Gageland, Pop: 15081875, Elevation: 417.0)
(City: Erdmanshire, Pop: 11173073, Elevation: 311.0)
(City: PortJacques, Pop: 44384347, Elevation: 700.0)
(City: Lurlinestad, Pop: 37800239, Elevation: 3236.0)
(City: NewBroderick, Pop: 9909746, Elevation: 1630.0)
(City: EastCameronchester, Pop: 41461511, Elevation: 2251.0)
(City: EastCamrynfort, Pop: 17326524, Elevation: 1276.0)
(City: EastKrista, Pop: 10305103, Elevation: 199.0)
(City: Andersonbury, Pop: 38230731, Elevation: 3921.0)
(City: NorthTiana, Pop: 39294813, Elevation: 2786.0)
(City: Heidenreichtown, Pop: 15898866, Elevation: 936.0)
(City: Lowellberg, Pop: 21759309, Elevation: 1690.0)
(City: Schmittberg, Pop: 23247094, Elevation: 3032.0)
(City: McCulloughberg, Pop: 20780935, Elevation: 407.0)
(City: WestRosina, Pop: 32611847, Elevation: 1661.0)
(City: Eichmannchester, Pop: 8077005, Elevation: 3344.0)
(City: PortJuanitafort, Pop: 44308595, Elevation: 3302.0)
(City: EastCobybury, Pop: 35522435, Elevation: 544.0)
(City: PortElva, Pop: 42597190, Elevation: 379.0)
(City: LakeTrever, Pop: 43212238, Elevation: 3794.0)
(City: Hermistonmouth, Pop: 16875595, Elevation: 727.0)
(City: Priceport, Pop: 5752088, Elevation: 3161.0)
(City: LakeJohan, Pop: 2124773, Elevation: 2416.0)
(City: NorthDillon, Pop: 33120657, Elevation: 3055.0)
(City: Simmouth, Pop: 35947793, Elevation: 2069.0)
(City: WestAnastasia, Pop: 47362517, Elevation: 149.0)
(City: Feeneymouth, Pop: 28047999, Elevation: 558.0)
(City: Rafaelaport, Pop: 8034527, Elevation: 1697.0)
(City: Kulasbury, Pop: 23374660, Elevation: 1749.0)
(City: Littleburgh, Pop: 32145637, Elevation: 3193.0)
(City: Hyattmouth, Pop: 21970902, Elevation: 1213.0)
(City: LakeAmalia, Pop: 19357983, Elevation: 1414.0)
(City: NewFanny, Pop: 9621694, Elevation: -16.0)
(City: EastYasmine, Pop: 39781504, Elevation: 1455.0)
(City: SouthPhilipbury, Pop: 38947441, Elevation: 3439.0)
(City: Johnsville, Pop: 33239508, Elevation: 3680.0)
(City: Charlieton, Pop: 27222180, Elevation: 221.0)
(City: SouthEmmanuel, Pop: 41211937, Elevation: 1016.0)
(City: Stiedemannburgh, Pop: 20425768, Elevation: 196.0)
(City: Clementinastad, Pop: 2353317, Elevation: 77.0)
(City: Feeneyberg, Pop: 8538988, Elevation: 790.0)
(City: Lindgrenbury, Pop: 35293881, Elevation: 1368.0)
(City: NewEdgardo, Pop: 7035469, Elevation: 1988.0)
(City: Kennethstad, Pop: 18341932, Elevation: 721.0)
(City: LakeValentinberg, Pop: 2460372, Elevation: 3987.0)
(City: LakeTatum, Pop: 46533753, Elevation: 3027.0)
(City: NorthBulah, Pop: 49008181, Elevation: 2436.0)
(City: Janaemouth, Pop: 1705399, Elevation: 2175.0)
(City: SouthEmmieton, Pop: 34611043, Elevation: 3035.0)
(City: Robertfort, Pop: 44831948, Elevation: -97.0)
(City: NorthParisburgh, Pop: 18707210, Elevation: 3704.0)
(City: Eloisehaven, Pop: 13514011, Elevation: 3243.0)
(City: Mariamburgh, Pop: 16692950, Elevation: -78.0)
(City: LakeElwynshire, Pop: 31848807, Elevation: 2869.0)
(City: Waelchitown, Pop: 33957183, Elevation: 3325.0)
(City: WestCary, Pop: 30474327, Elevation: 2144.0)
(City: NewJanae, Pop: 22629621, Elevation: 3648.0)
(City: SouthFranzport, Pop: 26962613, Elevation: 1615.0)
(City: NorthDarrelton, Pop: 35789163, Elevation: 512.0)
(City: PortMariahland, Pop: 42459224, Elevation: 2249.0)
(City: Lonzofort, Pop: 2806451, Elevation: 2914.0)
(City: NewEribertostad, Pop: 45960853, Elevation: -25.0)
(City: Gerlachbury, Pop: 21194244, Elevation: 2624.0)
(City: PortVicenta, Pop: 40450623, Elevation: 3687.0)
(City: Dietrichmouth, Pop: 4707510, Elevation: 3968.0)
(City: Maxineside, Pop: 28632568, Elevation: 3416.0)
(City: O'Connerborough, Pop: 40990403, Elevation: 1630.0)
(City: Juanitamouth, Pop: 48174311, Elevation: 2731.0)
(City: EastNolaland, Pop: 37148325, Elevation: 549.0)
(City: PortSibyl, Pop: 27495766, Elevation: 3128.0)
(City: NorthJaylonborough, Pop: 19605554, Elevation: 1877.0)
(City: NewAnamouth, Pop: 16405422, Elevation: 544.0)
(City: EastDaynaport, Pop: 874464, Elevation: 826.0)
(City: Mayefort, Pop: 27216935, Elevation: 3010.0)
(City: Bertburgh, Pop: 816505, Elevation: 800.0)
(City: NorthAbby, Pop: 43720948, Elevation: 869.0)
(City: NewHerminiaside, Pop: 6734375, Elevation: 649.0)
(City: EastElmore, Pop: 26068572, Elevation: 798.0)
(City: NorthFilibertoport, Pop: 23131923, Elevation: 1913.0)
(City: Madelynnstad, Pop: 33330845, Elevation: 1022.0)
(City: PortLoisside, Pop: 37165293, Elevation: 3137.0)
(City: NorthMilohaven, Pop: 3018041, Elevation: 142.0)
(City: Bodeborough, Pop: 15894387, Elevation: 3430.0)
(City: Angelinafurt, Pop: 38820820, Elevation: 2918.0)
(City: Colbyport, Pop: 9224838, Elevation: 3391.0)
(City: SouthMorgan, Pop: 3038306, Elevation: 2854.0)
(City: Jocelynburgh, Pop: 9693640, Elevation: 2478.0)
(City: Erdmanton, Pop: 24107338, Elevation: 2423.0)
(City: NorthKarianneton, Pop: 42943751, Elevation: 1917.0)
(City: Moisesberg, Pop: 5888243, Elevation: 2414.0)
(City: DuBuquetown, Pop: 24323929, Elevation: 1178.0)
(City: Luettgenstad, Pop: 25703528, Elevation: 1325.0)
(City: NorthCalestad, Pop: 49698610, Elevation: 3196.0)
(City: SouthDomenica, Pop: 38324001, Elevation: 2164.0)
(City: Aidenport, Pop: 41634295, Elevation: 2663.0)
(City: Dorianland, Pop: 43971984, Elevation: -66.0)
(City: PortDamonville, Pop: 958186, Elevation: 548.0)
(City: EastGeraldine, Pop: 21943297, Elevation: 1373.0)
(City: NewHoldenchester, Pop: 29650011, Elevation: 1782.0)
(City: PortJaclynhaven, Pop: 19134807, Elevation: 45.0)
(City: Rustyport, Pop: 4734254, Elevation: 3634.0)
(City: Krystelland, Pop: 4390009, Elevation: -63.0)
(City: Arielletown, Pop: 40978157, Elevation: -90.0)
(City: LakeDimitri, Pop: 25344221, Elevation: 1796.0)
(City: Merleburgh, Pop: 36634541, Elevation: 1902.0)
(City: WestJosefamouth, Pop: 48396687, Elevation: 2629.0)
(City: EastRafael, Pop: 47988877, Elevation: 2498.0)
(City: EastMiracleview, Pop: 20842098, Elevation: 158.0)
(City: NorthPaulaside, Pop: 5519686, Elevation: 1224.0)
(City: Hudsonfurt, Pop: 462752, Elevation: 3515.0)
(City: Deannaland, Pop: 9312976, Elevation: 99.0)
(City: Leschton, Pop: 32608718, Elevation: 1490.0)
(City: Sporermouth, Pop: 47969411, Elevation: 3393.0)
(City: Linnieland, Pop: 9550265, Elevation: 3383.0)
(City: NorthStephanyburgh, Pop: 26776700, Elevation: 3916.0)
(City: Hintzton, Pop: 15528897, Elevation: 1357.0)
(City: NewAllisonfort, Pop: 42332223, Elevation: 1184.0)
(City: Swaniawskiland, Pop: 5618044, Elevation: 2606.0)
(City: EastKaylinside, Pop: 40170560, Elevation: 1195.0)
(City: Hilpertville, Pop: 30453017, Elevation: 207.0)
(City: Langburgh, Pop: 94558, Elevation: 3768.0)
(City: WestMolly, Pop: 9784087, Elevation: 1689.0)
(City: PortHavenhaven, Pop: 32446057, Elevation: 1817.0)
(City: PortHilario, Pop: 19333834, Elevation: 2090.0)
(City: Kirlinberg, Pop: 15644128, Elevation: 587.0)
(City: Armandoland, Pop: 4183703, Elevation: -40.0)
(City: PortKaydenbury, Pop: 2280629, Elevation: 2551.0)
(City: WestCotyborough, Pop: 225904, Elevation: 1408.0)
(City: Romagueraburgh, Pop: 40358187, Elevation: 1653.0)
(City: SouthJose, Pop: 48305581, Elevation: 1691.0)
(City: SouthPiercechester, Pop: 16971626, Elevation: 895.0)
(City: NorthDelilahbury, Pop: 9784501, Elevation: 2361.0)
(City: NorthMack, Pop: 11412134, Elevation: 44.0)
(City: Stehrtown, Pop: 2026339, Elevation: 2686.0)
(City: NorthAlf, Pop: 2007540, Elevation: 2694.0)
(City: Dibbertfort, Pop: 25905133, Elevation: 1494.0)
(City: Breannechester, Pop: 36122183, Elevation: 505.0)
(City: Edytheside, Pop: 31048484, Elevation: 3637.0)
(City: Toyport, Pop: 19393155, Elevation: 930.0)
(City: SouthKristinland, Pop: 34248221, Elevation: 951.0)
(City: Blancahaven, Pop: 20467383, Elevation: 1206.0)
(City: Sadieland, Pop: 35799333, Elevation: 2276.0)
(City: PortTabithamouth, Pop: 42665332, Elevation: 511.0)
(City: EastMonserrat, Pop: 26267477, Elevation: 3838.0)
(City: Kaileeside, Pop: 40677207, Elevation: 1070.0)
(City: NorthMeda, Pop: 30832807, Elevation: 1907.0)
(City: Hauckport, Pop: 16513894, Elevation: 103.0)
(City: NewProvidenci, Pop: 37273517, Elevation: 404.0)
(City: NewEllsworth, Pop: 42720679, Elevation: 1629.0)
(City: Stantonport, Pop: 10128066, Elevation: 3964.0)
(City: Westleyfurt, Pop: 43817334, Elevation: 335.0)
(City: Jacobsonberg, Pop: 18202395, Elevation: 3006.0)
(City: Nicolasburgh, Pop: 42583589, Elevation: 762.0)
(City: NorthRosettaside, Pop: 14044226, Elevation: 2509.0)
(City: Giovannyberg, Pop: 6959732, Elevation: 734.0)
(City: EastElisha, Pop: 1534213, Elevation: 1834.0)
(City: EastAlyceside, Pop: 13700583, Elevation: 2211.0)
(City: Gerlachshire, Pop: 15824247, Elevation: 675.0)
