(City: PortLeanne, Pop: 7260291, Elevation: 572.0)
(City: Watsicaview, Pop: 7748110, Elevation: 3892.0)
(City: PortBlazeton, Pop: 20302086, Elevation: 2750.0)
(City: NorthKristoffer, Pop: 22524462, Elevation: 2094.0)
(City: Lefflerbury, Pop: 21600659, Elevation: 1716.0)
(City: NorthLauryn, Pop: 750310, Elevation: 3000.0)
(City: SouthRoberta, Pop: 16567994, Elevation: 3803.0)
(City: SouthCaratown, Pop: 36706204, Elevation: 2296.0)
(City: PortArlo, Pop: 17181026, Elevation: 1211.0)
(City: WestEvalyntown, Pop: 26242470, Elevation: 708.0)
(City: Zitamouth, Pop: 32697812, Elevation: 726.0)
(City: Geoffreyburgh, Pop: 10581944, Elevation: 2011.0)
(City: PortGuillermo, Pop: 40812101, Elevation: 2382.0)
(City: PortBradlyberg, Pop: 37035946, Elevation: 1624.0)
(City: EastCleveland, Pop: 10670003, Elevation: 801.0)
(City: LakeCarlosland, Pop: 22186504, Elevation: 382.0)
(City: EastAminaborough, Pop: 22589209, Elevation: 585.0)
(City: NorthAngelica, Pop: 26740246, Elevation: 3701.0)
(City: Dickiview, Pop: 25979073, Elevation: 815.0)
(City: Jakubowskiberg, Pop: 1259293, Elevation: 1649.0)
(City: EastYasmeenville, Pop: 16661768, Elevation: 2635.0)
(City: LakeAryannaborough, Pop: 48259135, Elevation: 2490.0)
(City: PortHarmonburgh, Pop: 22006368, Elevation: 466.0)
(City: SouthLafayettemouth, Pop: 16305614, Elevation: 665.0)
(City: WestJadamouth, Pop: 16582568, Elevation: 3866.0)
(City: SouthNico, Pop: 29696904, Elevation: 3597.0)
(City: Sidneyshire, Pop: 2517811, Elevation: 104.0)
(City: SouthHeidi, Pop: 25551366, Elevation: 1636.0)
(City: SouthJaidenside, Pop: 33088755, Elevation: 3928.0)
(City: Aliciatown, Pop: 45580309, Elevation: 3590.0)
(City: LakeShayne, Pop: 2027355, Elevation: 2111.0)
